idx,date,open,high,low,close,volume,transaction_value,listed_stock_amount,market_capitalization,foreigner_limit_buy_quantity,foreigner_available_buy_quantity,foreigner_holding_quantity,foreigner_holding_rate,agency_net_buy_quantity,agency_accumulate_net_buy_quantity,advance_decline_line,advance_decline_ratio,deposit,turnover_ratio,transaction_completion_rate
7787,19920313,45441,46373,45208,46140,6080,278000000,2714000,125223000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7786,19920314,45441,45907,45441,45907,2682,123000000,2714000,124591000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7785,19920316,44975,46373,44975,46373,3162,144000000,2714000,125856000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7784,19920317,46373,47072,45208,47072,7930,367000000,2714000,127753000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7783,19920318,47072,49403,47072,49403,17019,827000000,2714000,134079000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7782,19920319,50801,51500,50335,50335,52525,2680000000,2714000,136609000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7781,19920320,50335,50335,48470,49636,10659,525000000,2714000,134712000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7780,19920321,49869,49869,48470,48937,6518,322000000,2714000,132815000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7779,19920323,48937,50102,48470,49636,10998,541000000,2714000,134712000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7778,19920325,49636,51966,49636,51966,23966,1219000000,2714000,141035000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7777,19920326,54063,54296,53597,54296,12822,696000000,2714000,147359000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7776,19920327,56627,56627,52432,52432,43693,2409000000,2714000,142300000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7775,19920328,52432,54296,51966,53131,54031,2863000000,2714000,144197000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7774,19920330,53597,55461,53597,55461,30154,1654000000,2714000,150521000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7773,19920331,53830,55927,53131,55694,20156,1095000000,2714000,151153000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7772,19920401,55927,56394,53597,53597,31695,1766000000,3327000,178317000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7771,19920402,53597,53597,51267,51267,21919,1158000000,2714000,139138000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7770,19920403,49403,50102,48937,48937,18576,910000000,2714000,132815000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7769,19920404,47771,48937,47771,48704,5050,247000000,2714000,132182000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7768,19920406,48704,49170,48704,48704,5531,270000000,2714000,132182000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7767,19920407,48704,48704,47771,48704,3372,164000000,2714000,132182000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7766,19920408,49170,49170,46606,48704,2162,105000000,2714000,132182000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7765,19920409,48937,51034,48704,50568,15748,782000000,2714000,137241000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7764,19920410,50102,50102,48470,49403,9608,468000000,2714000,134079000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7763,19920411,48237,49403,47771,49403,4608,226000000,2714000,134079000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7762,19920413,47771,50102,47771,48937,23580,1154000000,2714000,132815000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7761,19920414,48937,50102,48237,48937,37625,1841000000,2714000,132815000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7760,19920415,48237,48937,48237,48237,1991,96000000,2714000,130915000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7759,19920416,48937,48937,48470,48704,5076,248000000,2714000,132182000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7758,19920417,48937,48937,47771,47771,772,37000000,2714000,129650000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7757,19920418,47771,47771,46839,47771,3227,153000000,2714000,129650000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7756,19920420,47538,48937,47538,48237,2518,122000000,2714000,130915000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7755,19920421,48470,48704,48237,48237,3239,157000000,2714000,130915000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7754,19920422,47305,49170,47305,48937,14671,717000000,2714000,132815000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7753,19920423,49170,49170,48704,48937,20988,1027000000,2714000,132815000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7752,19920424,48937,51034,48704,48937,61519,3047000000,2714000,132815000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7751,19920425,49636,49636,48237,48470,5969,291000000,2714000,131547000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7750,19920427,48470,48704,46140,46373,21688,1015000000,2714000,125856000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7749,19920428,45441,46373,45441,46373,16126,738000000,2714000,125856000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7748,19920429,46373,47538,45907,47538,25867,1200000000,2714000,129018000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7747,19920430,48470,48470,46140,46140,5634,265000000,2714000,125223000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7746,19920501,46140,47072,46140,46606,6527,304000000,2714000,126488000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7745,19920502,47072,47072,46140,46140,1566,73000000,2714000,125223000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7744,19920504,46140,48004,46140,47538,15551,734000000,2714000,129018000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7743,19920506,48004,48704,48004,48004,18152,878000000,2714000,130282000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7742,19920507,48004,48004,46606,46606,3883,184000000,2714000,126488000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7741,19920508,45441,46606,45441,46606,22258,1020000000,2714000,126488000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7740,19920509,46606,47072,46140,46606,4441,208000000,2714000,126488000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7739,19920511,46606,46606,45907,46606,3677,171000000,2714000,126488000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7738,19920512,47072,47072,46140,46140,3274,153000000,2714000,125223000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7737,19920513,46140,46606,46140,46606,2827,131000000,2714000,126488000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7736,19920514,47072,48937,47072,48937,52778,2542000000,2714000,132815000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7735,19920515,50102,51034,50102,50335,45251,2285000000,2714000,136609000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7734,19920516,50102,51500,48937,51500,39411,2016000000,2714000,139771000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7733,19920518,51966,53830,51500,53830,50971,2719000000,2714000,146094000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7732,19920519,55927,56161,53830,54762,83516,4623000000,2714000,148624000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7731,19920520,55461,56161,52665,53131,57636,3176000000,2714000,144197000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7730,19920521,53131,53131,50801,51267,20838,1074000000,2714000,139138000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7729,19920522,50102,51966,49403,49403,9741,489000000,2714000,134079000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7728,19920523,49403,50568,49403,50335,10110,505000000,2714000,136609000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7727,19920525,48470,50568,48004,49403,6072,300000000,2714000,134079000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7726,19920526,48004,49636,48004,48470,9084,446000000,2714000,131547000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7725,19920527,48004,49636,48004,49403,4995,245000000,2714000,134079000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7724,19920528,47072,49869,47072,49869,3441,170000000,2714000,135344000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7723,19920529,49636,50335,48937,50335,4947,247000000,2714000,136609000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7722,19920530,49869,50801,49170,50801,5029,254000000,2714000,137873000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7721,19920601,51267,51267,48937,48937,1240,63000000,2714000,132815000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7720,19920602,50102,50102,48470,49403,3377,166000000,2714000,134079000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7719,19920603,49170,50102,49170,49869,7664,380000000,2714000,135344000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7718,19920604,49636,49869,48704,48704,5033,251000000,2714000,132182000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7717,19920605,47305,49403,47305,48470,1244,60000000,2714000,131547000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7716,19920608,48470,48937,48004,48937,9221,445000000,2714000,132815000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7715,19920609,47771,49403,47072,49403,6565,317000000,2714000,134079000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7714,19920610,48937,49636,48937,49636,2325,115000000,2714000,134712000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7713,19920611,49170,51034,48937,50102,3514,177000000,2714000,135976000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7712,19920612,50102,50335,49403,50335,4651,233000000,2714000,136609000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7711,19920613,50102,50801,49869,50801,2870,145000000,2714000,137873000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7710,19920615,49869,50335,49636,50335,5325,265000000,2714000,136609000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7709,19920616,48470,48470,48470,48470,4,0,2714000,131547000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7708,19920617,46606,48237,46606,46839,2579,123000000,2714000,127121000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
